Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|legitimate
9ee6824c-9a86-11e6-98fa-80e65024849a.file|3c4de20e464146bec844471867bd1628|332|224|8462|2|50|51200|18944|0|45842|4096|57344|268435456|4096|512|4|0|0|0|4|0|81920|1024|77710|2|0|1048576|4096|1048576|4096|0|16|4|5.18279628644|3.04800455669|6.17339934358|17152.0|512|51200|17242.75|256|50843|9|89|0|0|0|0|0|0|0|0|0|0|0|0
61ec53ca-adcb-11e6-b72d-80e65024849a.file|e134e27613ac19bcbc8a897487ac9e96|332|224|258|10|0|29696|489984|16896|14511|4096|36864|4194304|4096|512|5|0|6|0|5|0|1204224|1024|0|2|34112|1048576|4096|1048576|4096|0|16|6|3.92079887525|0.0|6.49970859063|13653.3333333|0|36352|198958.0|4054|643072|8|172|1|0|41|3.2721785195|2.40320055668|6.16607689223|832.146341463|132|9640|0|0|0
6ca103f5-9eb2-11e6-bcb9-80e65024849a.file|27350fdc9f53cb093614aef9bd259276|332|224|271|6|0|23552|119808|1024|12860|4096|28672|4194304|4096|512|4|0|6|0|4|0|335872|1024|0|2|32768|1048576|4096|1048576|4096|0|16|5|4.26404495019|0.0|6.41769823686|6860.8|0|23552|64653.2|4496|180224|8|155|1|0|8|3.33232462133|1.81924070464|5.74165055354|547.625|20|2216|0|12|0
9ecd8be3-ca8e-11e6-8784-80e65024849a.file|e096033aeb0ca9a9e504775e1951dfd0|332|224|271|6|0|23552|119808|1024|12945|4096|28672|4194304|4096|512|4|0|6|0|4|0|200704|1024|0|2|32768|1048576|4096|1048576|4096|0|16|5|4.40869676591|0.0|6.47638909549|8396.8|0|23552|37608.0|4496|110456|8|155|1|0|7|3.59735782125|1.91924070464|5.67728000818|1749.42857143|20|9640|0|16|0
88937ccc-4d49-11e7-9f9f-80e65024849a.file|7830ae81a7f4aacd5254a978893f1f26|332|224|259|10|0|352256|155648|663552|1018112|667648|1019904|4194304|4096|512|4|1|0|0|4|1|1175552|4096|3774004|2|33024|1048576|4096|1048576|4096|0|16|3|4.81293618622|0.0|7.93069132149|168960.0|0|351232|390485.333333|155648|663552|7|12|0|0|21|5.73021573625|0.0|7.95463309277|17614.6666667|164|115874|72|16|0
390dbd33-b08b-11e6-ad2e-80e65024849a.file|a7593f0cb215231cd18877d846efeb59|332|224|8450|12|0|56832|146944|0|16559|4096|61440|268435456|4096|512|5|1|0|0|5|1|217088|1024|0|2|320|1048576|4096|1048576|4096|0|16|5|5.81247533006|4.03183130723|7.35378913584|39116.8|1024|113152|40456.8|896|120940|3|77|0|0|2|4.08603214777|3.2604497798|4.91161451574|364.5|348|381|72|11|0
c1b7677d-49eb-11e7-a515-80e65024849a.file|f773e14ee1b70fd7d459bc77c71b4359|332|224|8462|7|10|266240|36864|0|159936|4096|270336|268435456|4096|4096|4|0|0|0|4|0|307200|4096|0|2|0|1048576|4096|1048576|4096|0|16|4|5.291883823|4.67031047742|6.3055174366|74752.0|8192|266240|74082.75|5518|265797|3|94|0|0|0|0|0|0|0|0|0|72|0|0
706a393a-a1a3-11e6-b514-80e65024849a.file|158b710a2ce07e3a34e46118f2ad39f2|332|224|8450|12|0|131072|4096|106496|239632|110592|241664|268435456|4096|512|5|1|0|0|5|1|245760|4096|0|2|320|1048576|4096|1048576|4096|0|16|3|3.88958917361|0.0|7.92920391751|43861.3333333|0|130048|80554.6666667|4096|131072|3|7|0|0|2|4.09069466572|3.26977481571|4.91161451574|364.5|348|381|72|11|0
9cd1d278-a1a3-11e6-bf36-80e65024849a.file|c79dfcd9b989f48ae7900d41a2164618|332|224|259|9|0|24576|263680|8192|13085|4096|28672|4194304|4096|512|5|0|6|0|5|0|1114112|1024|644693|2|32768|1048576|4096|1048576|4096|0|16|5|3.56277310213|0.0|6.44603018817|11571.2|0|27136|220812.0|5470|794624|8|158|1|0|14|3.24513821923|2.43767598439|5.31229353623|1846.42857143|96|9640|0|14|0
b3309640-9a86-11e6-8efe-80e65024849a.file|3b0a6a947ddefe22c4b6d8639066855d|332|224|33167|2|25|36864|16896|0|38896|4096|40960|4194304|4096|512|1|0|0|0|4|0|77824|1024|0|2|0|1048576|16384|1048576|4096|0|16|8|2.28297193451|0.0|6.57622930147|6400.0|0|36864|6958.25|8|36628|8|95|0|0|14|3.45057193404|2.64576300669|4.86457827095|651.785714286|44|2216|0|13|0
